,Nome do Artigo,Ano,Autores,Instituições,Num_Autores,Presença de Dois-Pontos,Presença de interrogação no título,Presença de acrônimos no título,Presença de número no título,Número de Autores,Número de Palavras-Chave,Comprimento do resumo,Comprimento do artigo,Comprimento do título (palavras),Comprimento do Título (caracteres),Número de referências,Número de figuras,Número de tabelas,Existência de apêndice,Número de anexos/apêndices,Número de seções no artigo,Número de equações/formalismos matemáticos,Idioma do artigo,Recebeu subsídios?,Open Access?,Instituições,Tipos de instituções,Número de países de origem dos autores,Lista de países dos autores,Número de continentes representados pelos autores,Número de autores homens,Número de autores mulheres,Idade média dos autores,Raça dos Autores
0,GenAssist: Making Image Generation Accessible,2023,"['Mina Huh', 'Yi-Hao Peng', 'Amy Pavel']","['University of Texas at Austin', 'Carnegie Mellon University', 'University of Texas at Austin']",3,True,False,False,False,3,4.0,1127.0,17.0,5,45,85.0,8,4,True,1.0,8.0,0.0,EN,False,True,"['University of Texas at Austin', 'Carnegie Mellon University', 'University of Texas at Austin']","['universidade', 'universidade', 'universidade']","3,00","['Korea do Sul', 'Taiwan', 'Estados Unidos']","2,00","1,00","2,00","28,00","['Amarelo', 'Amarelo', 'Branco']"
1,Generative Agents: Interactive Simulacra of Human Behavior,2023,"['Joon Sung Park', ""Joey O'Brien"", 'Carrie J Cai', 'Meredith Ringel Morris', 'Percy Liang', 'Michael Bernstein']","['Stanford University', 'Stanford University', 'Google', 'Google', 'Stanford University', 'Stanford University']",6,True,False,False,False,6,4.0,1174.0,22.0,7,58,42.0,9,0,True,2.0,10.0,3.0,EN,False,True,"['Stanford University', 'Stanford University', 'Google', 'Google', 'Stanford University', 'Stanford University']","['universidade', 'universidade', 'empresa', 'empresa', 'universidade', 'universidade']","2,00","['Estados Unidos', 'Estados Unidos', 'None', 'Estados Unidos', 'China' 'Estados Unidos']","2,00","4,00","2,00","34,00","['Amarelo', 'Branco', 'Amarelo', 'Branco', 'Amarelo', 'Branco']"
2,Going Incognito in the Metaverse: Achieving Theoretically Optimal Privacy-Usability Tradeoffs in VR,2023,"['Vivek C Nair', 'Gonzalo Munilla-Garrido', 'Dawn Song']","['University of California', 'Technical University of Munich', 'University of California']",3,True,False,True,False,3,8.0,1143.0,16.0,12,99,92.0,9,3,True,1.0,8.0,4.0,EN,False,True,"['University of California', 'Technical University of Munich', 'University of California']","['universidade', 'universidade', 'universidade']","3,00","['Estados Unidos', 'Espanha', 'China']","3,00","2,00","1,00","34,00","['Pardo', 'Branco', 'Amarelo']"
3,CrossA11y: Identifying Video Accessibility Issues via Cross-modal Grounding,2022,"[""Xingyu 'Bruce' Liu"", 'Ruolin Wang', 'Dingzeyu Li', ""Xiang 'Anthony' Chen"", 'Amy Pavel']","['University of California', 'University of California', 'Adobe', 'University of California', 'University of Texas at Austin']",5,True,False,False,True,5,3.0,1078.0,14.0,8,75,26.0,9,5,True,2.0,8.0,4.0,EN,False,True,"['University of California', 'University of California', 'Adobe', 'University of California', 'University of Texas at Austin']","['universidade', 'universidade', 'empresa', 'universidade', 'universidade']","2,00","['China', 'China', 'China', 'China', 'Estados Unidos']","2,00","3,00","2,00","32,00","['Amarelo', 'Amarelo', 'Amarelo', 'Amarelo', 'Branco']"
4,"Grid-Coding: An Accessible, Efficient, and Structured Coding Paradigm for Blind and Low-Vision Programmers",2022,"['Md Ehtesham-Ul-Haque', 'Syed Mostofa Monsur', 'Syed Masum Billah']","['Pennsylvania State University', 'Bangladesh University of Engineering and Technology', 'Pennsylvania State University']",3,True,False,False,False,3,,,,13,106,,,,,,,,EN,True,False,"['Pennsylvania State University', 'Bangladesh University of Engineering and Technology', 'Pennsylvania State University']","['universidade', 'universidade', 'universidade']","1,00","['Bangladesh', 'Bangladesh', 'Bangladesh']","1,00","3,00","0,00","33,00","['Pardo', 'Pardo', 'Pardo']"
5,Prototyping Soft Devices with Interactive Bioplastics,2022,"['Marion Koelle', 'Madalina Luciana Nicolae', 'Aditya Shekhar Nittala', 'Marc Teyssier', 'JÃ¼rgen Steimle']","['University of Duisburg-Essen', 'Saarland University', 'Saarland University', 'De Vinci Research Center', 'Saarland University']",5,False,False,False,False,5,5.0,1013.0,16.0,6,53,125.0,11,6,False,0.0,9.0,0.0,EN,False,True,"['University of Duisburg-Essen', 'Saarland University', 'Saarland University', 'De Vinci Research Center', 'Saarland University']","['universidade', 'universidade', 'universidade', 'centro de pesquisa', 'universidade']","4,00","['Alemanha', 'Romênia', 'Índia', 'França', 'Alemanha']","2,00","3,00","2,00","31,00","['Branco', 'Branco', 'Pardo', 'Branco', 'Branco']"
6,Altering Perceived Softness of Real Rigid Objects by Restricting Fingerpad Deformation,2021,"['Yujie Tao', 'Shan-Yuan Teng', 'Pedro Lopes']","['University of Chicago', 'University of Chicago', 'University of Chicago']",3,False,False,False,False,3,,,,11,86,,,,,,,,EN,True,False,"['University of Chicago', 'University of Chicago', 'University of Chicago']","['universidade', 'universidade', 'universidade']","3,00","['China', 'Taiwan', 'Portugal']","2,00","2,00","1,00","31,00","['Amarelo', 'Amarelo', 'Branco']"
7,SoundsRide: Affordance-Synchronized Music Mixing for In-Car Audio Augmented Reality,2021,"['Mohamed Kari', 'Tobias Grosse-Puppendahl', 'Alexander Jagaciak', 'David Bethge', 'Reinhard SchÃ¼tte', 'Christian Holz']","['University of Duisburg-Essen', 'Porsche AG', 'Porsche AG', 'Ludwig Maximilian University of Munich', 'University of Duisburg-Essen', 'ETH Zurich']",6,True,False,False,False,6,,,,9,83,,,,,,,,EN,True,False,"['University of Duisburg-Essen', 'Porsche AG', 'Porsche AG', 'Ludwig Maximilian University of Munich', 'University of Duisburg-Essen', 'ETH Zurich']","['universidade', 'empresa', 'empresa', 'universidade', 'universidade', 'universidade']","1,00","['Alemanha', 'Alemanha', 'Alemanha', 'Alemanha', 'Alemanha', 'Alemanha']","1,00","6,00","0,00","33,00","['Branco', 'Branco', 'Branco', 'Branco', 'Branco', 'Branco']"
8,Ten Million Users and Ten Years Later: Python Tutor's Design Guidelines for Building Scalable and Sustainable Research Software in Academia,2021,['Philip Guo'],['University of California'],1,True,False,False,False,1,4.0,1074.0,17.0,20,139,155.0,6,2,False,0.0,10.0,0.0,EN,False,True,['University of California'],['universidade'],"1,00",['Estados Unidos'],"1,00","1,00","0,00",40.00,['Amarelo']
9,HandMorph: A Passive Exoskeleton that Miniaturizes Grasp,2020,"['Jun Nishida', 'Soichiro Matsuda', 'Hiroshi Matsui', 'Shan-Yuan Teng', 'Ziwei Liu', 'Kenji Suzuki', 'Pedro Lopes']","['University of Chicago', 'University of Tsukuba', 'Ruhr-University Bochum', 'University of Chicago', 'University of Chicago', 'University of Tsukuba', 'University of Chicago']",7,True,False,False,False,7,,,,7,56,,,,,,,,EN,True,False,"['University of Chicago', 'University of Tsukuba', 'Ruhr-University Bochum', 'University of Chicago', 'University of Chicago', 'University of Tsukuba', 'University of Chicago']","['universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade', 'universidade']","3,00","['Japão', 'Japão', 'None', 'Taiwan', 'None', 'Japão', 'Portugal']","2,00","7,00","0,00","31,00","['Amarelo', 'Amarelo', 'Amarelo', 'Amarelo', 'Amarelo', 'Amarelo', 'Branco']"
